"Name","Directory","Extension","Length","LastWriteTime"
"README.md","/workspaces/menschlichkeit-oesterreich-development/api.menschlichkeit-oesterreich.at",".md","8781","10/10/2025 19:46:54"
"README.md","/workspaces/menschlichkeit-oesterreich-development/automation/elk-stack/elasticsearch/templates",".md","11262","10/09/2025 16:01:45"
"README.md","/workspaces/menschlichkeit-oesterreich-development/automation/n8n/custom-nodes/pii-sanitizer",".md","1397","10/09/2025 16:01:45"
"README.md","/workspaces/menschlichkeit-oesterreich-development/automation",".md","9199","10/10/2025 20:57:59"
"README.md","/workspaces/menschlichkeit-oesterreich-development/crm.menschlichkeit-oesterreich.at/web/core/tests/Drupal/Tests/Composer/Plugin/Scaffold/fixtures/drupal-composer-drupal-project/docroot/sites/default",".md","9","10/09/2025 16:01:46"
"README.md","/workspaces/menschlichkeit-oesterreich-development/crm.menschlichkeit-oesterreich.at/web/core/tests/Drupal/Tests/Composer/Plugin/Scaffold/fixtures/drupal-composer-drupal-project/docroot",".md","9","10/09/2025 16:01:46"
"README.md","/workspaces/menschlichkeit-oesterreich-development/crm.menschlichkeit-oesterreich.at/web/core/tests/Drupal/Tests/Composer/Plugin/Scaffold/fixtures/project-with-illegal-dir-scaffold/assets",".md","9","10/09/2025 16:01:46"
"README.md","/workspaces/menschlichkeit-oesterreich-development/crm.menschlichkeit-oesterreich.at/web/core/tests/Drupal/Tests/Composer/Plugin/Scaffold/fixtures",".md","1888","10/09/2025 16:01:46"
"README.md","/workspaces/menschlichkeit-oesterreich-development/crm.menschlichkeit-oesterreich.at/web/core/tests",".md","6973","10/09/2025 16:01:46"
"README.md","/workspaces/menschlichkeit-oesterreich-development/crm.menschlichkeit-oesterreich.at/web/core/themes/claro/images/core",".md","228","10/09/2025 16:01:46"
"README.md","/workspaces/menschlichkeit-oesterreich-development/crm.menschlichkeit-oesterreich.at/web/core/themes/olivero",".md","2184","10/09/2025 16:01:46"
"README.md","/workspaces/menschlichkeit-oesterreich-development/crm.menschlichkeit-oesterreich.at/web/core/themes/starterkit_theme",".md","529","10/09/2025 16:01:46"
"README.md","/workspaces/menschlichkeit-oesterreich-development/crm.menschlichkeit-oesterreich.at/web/modules/custom/pii_sanitizer",".md","9172","10/09/2025 16:01:46"
"README.md","/workspaces/menschlichkeit-oesterreich-development/crm.menschlichkeit-oesterreich.at/web",".md","3205","10/09/2025 16:01:45"
"README.md","/workspaces/menschlichkeit-oesterreich-development/crm.menschlichkeit-oesterreich.at",".md","8874","10/10/2025 20:55:53"
"README.md","/workspaces/menschlichkeit-oesterreich-development/deployment-scripts",".md","1348","10/10/2025 20:53:29"
"README.md","/workspaces/menschlichkeit-oesterreich-development/docs/archive",".md","4630","10/10/2025 19:27:11"
"QUALITY_GATE_SUMMARY.md","/workspaces/menschlichkeit-oesterreich-development/docs",".md","12113","10/10/2025 21:59:13"
"1760122668294-README.md","/workspaces/menschlichkeit-oesterreich-development/frontend",".md","8969","10/10/2025 21:00:36"
"README.md","/workspaces/menschlichkeit-oesterreich-development/frontend",".md","8969","10/10/2025 20:57:36"
"README.md","/workspaces/menschlichkeit-oesterreich-development/mcp-servers/policies",".md","1131","10/09/2025 16:01:46"
"README.md","/workspaces/menschlichkeit-oesterreich-development/mcp-servers",".md","1248","10/10/2025 20:52:31"
"README.md","/workspaces/menschlichkeit-oesterreich-development/tests",".md","1029","10/10/2025 20:53:09"
"README.md","/workspaces/menschlichkeit-oesterreich-development/web",".md","7955","10/10/2025 20:57:41"
"DOCS_REPORT.md","/workspaces/menschlichkeit-oesterreich-development",".md","18479","10/10/2025 22:15:11"
"DOCS-INDEX.md","/workspaces/menschlichkeit-oesterreich-development",".md","21920","10/10/2025 20:50:56"
"README.md","/workspaces/menschlichkeit-oesterreich-development",".md","14708","10/10/2025 20:57:25"
"SESSION_SUMMARY_2025-01-10.md","/workspaces/menschlichkeit-oesterreich-development",".md","8227","10/10/2025 22:16:04"
"STATUS_UPDATE_2025-01-10_POWERSHELL.md","/workspaces/menschlichkeit-oesterreich-development",".md","5241","10/10/2025 22:14:35"
"STATUS_UPDATE_2025-10-10.md","/workspaces/menschlichkeit-oesterreich-development",".md","4400","10/10/2025 22:05:52"
"Untitled-1.ipynb","/workspaces/menschlichkeit-oesterreich-development",".ipynb","622","10/09/2025 16:01:45"
