"FQDN","Type","Target","Status"
"www.menschlichkeit-oesterreich.at","CNAME",,"✅"
"admin.stg.menschlichkeit-oesterreich.at","CNAME",,"✅"
"analytics.menschlichkeit-oesterreich.at","CNAME",,"✅"
"api.stg.menschlichkeit-oesterreich.at","CNAME",,"✅"
"consent.menschlichkeit-oesterreich.at","CNAME",,"✅"
"crm.menschlichkeit-oesterreich.at","CNAME",,"✅"
"docs.menschlichkeit-oesterreich.at","CNAME",,"✅"
"forum.menschlichkeit-oesterreich.at","CNAME",,"✅"
"games.menschlichkeit-oesterreich.at","CNAME",,"✅"
"grafana.menschlichkeit-oesterreich.at","CNAME",,"✅"
"hooks.menschlichkeit-oesterreich.at","CNAME",,"✅"
"idp.menschlichkeit-oesterreich.at","CNAME",,"✅"
"logs.menschlichkeit-oesterreich.at","CNAME",,"✅"
"media.menschlichkeit-oesterreich.at","CNAME",,"✅"
"n8n.menschlichkeit-oesterreich.at","CNAME",,"✅"
"newsletter.menschlichkeit-oesterreich.at","CNAME",,"✅"
"s3.menschlichkeit-oesterreich.at","CNAME",,"✅"
"status.menschlichkeit-oesterreich.at","CNAME",,"✅"
"support.menschlichkeit-oesterreich.at","CNAME",,"✅"
"votes.menschlichkeit-oesterreich.at","CNAME",,"✅"
